index,Product_Code,Product_Weight,Product_Fat_Content,Product_Salt_Content,Product_Visibility,Product_Type,Product_MRP,Store_Code,Store_Opened,Store_Size,Store_Location_Type,Store_Type,Product_Store_Sales
3341,FOOD-24-52,,regular,High Salt,0.4614793527342258,Baking Goods,64.4025,S-0551,1985,Small,Tier 1,Grocery Store,299.61
4579,FOOD-33-25,13.1,High Salt,Regular,0.27512824645971923,Dairy,200.51975,S-1421,1999,Medium,Tier 1,Supermarket Type1,1504.0422
6185,FOOD-33-55,9.6,regular,Regular,0.18854582201682435,Snack Foods,295.14625,S-0377,1987,High,3,Supermarket Type1,5346.374
2217,BVRG-71-47,20.75,Regular,Regular,0.0,Soft Drinks,181.253,S-1015,2004,Small,Tier 2,Supermarket Type1,2428.8384
1979,FOOD-33-67,18.35,High Salt,High Salt,0.30770271367019175,Fruits and Vegetables,97.86025000000001,S-0522,2009,Medium,Tier 3,Supermarket Type2,1631.8758
1811,BVRG-00-77,15.85,low Salt,Regular,0.32894755965047073,Soft Drinks,62.988,S-0493,2007,,Tier 2,Supermarket Type1,468.7232
143,NCON-35-46,16.6,NA,Regular,0.16619890493020706,Household,212.043,S-1421,1999,Medium, 1,Supermarket Type1,2676.5159999999996
1836,BVRG-56-07,6.115,High Salt,High Salt,0.08392263103597265,Soft Drinks,227.94124999999997,S-1015,2004,Small,2,Supermarket Type1,569.259
8120,NCON-04-65,,NA,Regular,0.27723654701355666,Health and Hygiene,59.99125000000001,S-0783,1985,Medium,Tier 3,Supermarket Type3,1471.418
7016,NCON-14-17,,NA,Regular,0.2689186066452078,Household,277.83349999999996,S-0783,1985,Medium,Tier 3,Supermarket Type3,8062.838000000001
2279,FOOD-14-36,14.15,Low Salt,Low Salt,0.14392540776388305,Fruits and Vegetables,145.25575,S-1334,1997,Small, 1,Supermarket Type1,2490.092
3130,FOOD-04-77,17.0,High Salt,High Salt,0.16293178020263574,Canned,167.68375000000003,S-0377,1987,High,Tier 3,Supermarket Type1,2147.205
3028,FOOD-15-55,10.695,High Salt,High Salt,0.13828909573787804,Snack Foods,81.25475,S-0290,1998,,Tier 3,Grocery Store,147.8076
6855,FOOD-29-60,,High Salt,High Salt,0.32706446918000737,Meat,45.968,S-0551,1985,Small,1,Grocery Store,135.8232
5834,BVRG-14-31,13.85,regular,Regular,0.22703448636715964,Soft Drinks,168.14425,S-0290,1998,,Tier 3,Grocery Store,141.8154
1933,FOOD-63-85,6.885,High Salt,High Salt,0.3745563976225743,Canned,125.65350000000001,S-1305,2002,,Tier 2,Supermarket Type1,1989.4104
588,FOOD-38-50,,low Salt,Regular,0.2950079863325737,Fruits and Vegetables,126.52850000000001,S-0783,1985,Medium,Tier 3,Supermarket Type3,3205.1612
687,FOOD-48-67,8.785,Regular,Regular,0.0,Fruits and Vegetables,143.80175,S-0290,1998,,Tier 3,Grocery Store,121.8414
4478,FOOD-24-55,,High Salt,Regular,0.20186038739683426,Snacks,165.31199999999998,S-0783,1985,Medium,Tier 3,Supermarket Type3,4093.3384
